"ElementsTableOfContentsItem href","sl-flex-1","sl-font-medium"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/589e36d630d32-get-documents","Get Documents","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/bd201528d814c-create-a-firm-document","Create a Firm Document","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/ea7d828a71c26-get-all-documents-for-a-case","Get All Documents for a Case","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/5f9d31af2e726-create-a-document-for-a-case","Create a Document for a Case","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/1ed784d5faecf-get-all-firm-document-versions","Get all Firm Document Versions","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/779d1b3acfcc0-get-an-individual-document","Get an Individual Document","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/168aa358d6183-update-an-individual-document","Update an Individual Document","put"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/dfd79bd80c6cf-delete-an-individual-document","Delete an Individual Document","delete"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/747466b14b30a-get-all-versions-of-a-document","Get All Versions of a Document","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/df502604f8d0c-create-a-version-for-a-document","Create a Version for a Document","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/7819bbacb18c5-download-a-document","Download a Document","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/1b366f0f85fc9-download-a-document-version","Download a Document Version","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/05e22a14b6be5-delete-an-individual-document-version","Delete an Individual Document Version","delete"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/b4chd2d5t4qze-events","Events",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/f8534cb3afa67-get-events","Get Events","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/ee40a44590022-create-an-event","Create an Event","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/4f98681f0927b-update-an-individual-event","Update an Individual Event","put"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/acb8ba76b49c3-delete-an-individual-event","Delete an Individual Event","delete"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/87e66f3eda1bd-create-a-staff-relationship-for-an-event","Create a Staff Relationship for an Event","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/kaz6g3ecbfz3z-expenses","Expenses",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/392cc31b2e608-get-expenses","Get Expenses","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/9da0db18810db-create-an-expense","Create an Expense","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/deede2682c55f-get-an-individual-expense","Get an Individual Expense","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/d0c875955519a-delete-an-individual-expense","Delete an Individual Expense","delete"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/pj93ftbf9zpgh-firm","Firm",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/0acc0620bdd9e-get-the-firm-of-the-current-authorized-user","Get the Firm of the Current Authorized User","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/tt9l498unsfn0-folders","Folders",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/35184330f1f95-get-documents-of-a-folder","Get Documents of a Folder","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/d6ced4ed6c24b-get-subfolders-of-a-folder","Get Subfolders of a Folder","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/1b7dc53b16e9d-get-case-documents-folder","Get Case Documents Folder","get"
